model,config,seed,elbow_mae_mpa
M6,"MoE, no refinement",42,100.76735403398494
M7,MoE + refinement,42,100.76735403398494
M8,MoE + UQ reward,42,100.76735403398494
M6,"MoE, no refinement",59,104.27657848276422
M7,MoE + refinement,59,104.27657848276422
M8,MoE + UQ reward,59,104.27657848276422
M6,"MoE, no refinement",76,224.1240414041161
M7,MoE + refinement,76,224.1240414041161
M8,MoE + UQ reward,76,224.1240414041161
M6,"MoE, no refinement",93,121.03175174819985
M7,MoE + refinement,93,121.03175174819985
M8,MoE + UQ reward,93,121.03175174819985
M6,"MoE, no refinement",110,85.63044406027461
M7,MoE + refinement,110,85.63044406027461
M8,MoE + UQ reward,110,85.63044406027461
